linux; GNU C++ version 4.6.3; Boost_104601; UHD_003.004.003-release

Using Volk machine: sse4_2_64
-- Opening a USRP2/N-Series device...
-- Current recv frame size: 1472 bytes
-- Current send frame size: 1472 bytes

Symbol Rate:         2.000000
Requested sps:       2.000000
Given sample rate:   195312.500000
Actual sps for rate: 97656.250000

Requested sample rate: 4.000000
Actual sample rate: 195312.500000


Transmitting in 900000000 Hz
Carrier map =  FE7F
carrier_map_new= FE7F


Sensing the spectrum
896972656.25 4.30427303399e-07 1
896997070.312 4.08343848335e-07 1
897021484.375 3.85962624705e-07 1
897045898.438 4.65114462145e-07 1
897070312.5 5.14960234455e-07 1
897094726.562 4.86538490918e-07 1
897119140.625 4.521977786e-07 1
897143554.688 4.57061992165e-07 1
897167968.75 5.45831275645e-07 1
897192382.812 5.62953377425e-07 1
897216796.875 5.35227601972e-07 1
897241210.938 5.71780199721e-07 1
897265625.0 5.04345064201e-07 1
897290039.062 5.25773384652e-07 1
897314453.125 5.82683261996e-07 1
897338867.188 5.54734654656e-07 1
897363281.25 6.65129999788e-07 1
897387695.312 7.06395920247e-07 1
897412109.375 7.92101434399e-07 1
897436523.438 7.78751223152e-07 1
897460937.5 6.71762188631e-07 1
897485351.562 6.76989637327e-07 1
897509765.625 5.97962124971e-07 1
897534179.688 6.36465455273e-07 1
897558593.75 6.77847498309e-07 1
897583007.812 7.05698170123e-07 1
897607421.875 7.89235377852e-07 1
897631835.938 6.65567364422e-07 1
897656250.0 6.0111462119e-07 1
897680664.062 7.26576740817e-07 1
897705078.125 8.39969106892e-07 1
897729492.188 9.28980071535e-07 1
897753906.25 8.51703828175e-07 1
897778320.312 7.33620169058e-07 1
897802734.375 6.63435434944e-07 1
897827148.438 6.77471052768e-07 1
897851562.5 6.59343885445e-07 1
897875976.562 8.31659446021e-07 1
897900390.625 8.11360624198e-07 1
897924804.688 6.38793162011e-07 1
897949218.75 6.63057195993e-07 1
897973632.812 6.87980275416e-07 1
897998046.875 5.9603184468e-07 1
898022460.938 6.66314849695e-07 1
898046875.0 7.14065970442e-07 1
898071289.062 6.85667043854e-07 1
898095703.125 7.01304045947e-07 1
898120117.188 7.51303977609e-07 1
898144531.25 7.0139803654e-07 1
898168945.312 7.47201826812e-07 1
898193359.375 7.01489233279e-07 1
898217773.438 7.52876240995e-07 1
898242187.5 7.85077648402e-07 1
898266601.562 7.94591079512e-07 1
898291015.625 8.24718887316e-07 1
898315429.688 7.23492453858e-07 1
898339843.75 6.83645657773e-07 1
898364257.812 7.34846651085e-07 1
898388671.875 7.05440027104e-07 1
898413085.938 8.00501680942e-07 1
898437500.0 6.89962320166e-07 1
898461914.062 6.65457505988e-07 1
898486328.125 7.38773240982e-07 1
898510742.188 7.44271957842e-07 1
898535156.25 7.49767565367e-07 1
898559570.312 7.04879821001e-07 1
898583984.375 6.21685424562e-07 1
898608398.438 5.58542839713e-07 1
898632812.5 5.27281747509e-07 1
898657226.562 6.7678767266e-07 1
898681640.625 8.78797638393e-07 1
898706054.688 7.97127728447e-07 1
898730468.75 7.27679727675e-07 1
898754882.812 6.36613631855e-07 1
898779296.875 6.8038101233e-07 1
898803710.938 6.632262739e-07 1
898828125.0 8.21143856911e-07 1
898852539.062 8.42848058369e-07 1
898876953.125 6.94309565574e-07 1
898901367.188 6.50540971492e-07 1
898925781.25 7.07989843818e-07 1
898950195.312 7.72768169099e-07 1
898974609.375 6.49563747857e-07 1
898999023.438 7.26424650566e-07 1
899023437.5 6.87344086714e-07 1
899047851.562 7.57433366516e-07 1
899072265.625 7.97611767211e-07 1
899096679.688 7.7596321546e-07 1
899121093.75 6.67717279157e-07 1
899145507.812 6.72690069337e-07 1
899169921.875 6.30674506397e-07 1
899194335.938 6.34004982203e-07 1
899218750.0 7.78269250645e-07 1
899243164.062 8.1146606874e-07 1
899267578.125 7.31810726506e-07 1
899291992.188 5.45396733287e-07 1
899316406.25 6.84448755806e-07 1
899340820.312 8.00822942892e-07 1
899365234.375 7.99252984507e-07 1
899389648.438 6.82020737486e-07 1
899414062.5 8.44602908501e-07 1
899438476.562 7.86391098018e-07 1
899462890.625 7.0617281267e-07 1
899487304.688 7.0998327999e-07 1
899511718.75 8.20188441253e-07 1
899536132.812 8.03837789931e-07 1
899560546.875 8.57416870303e-07 1
899584960.938 7.01341852505e-07 1
899609375.0 6.79175730056e-07 1
899633789.062 6.63737827722e-07 1
899658203.125 7.90602319967e-07 1
899682617.188 8.53720968053e-07 1
899707031.25 8.3711575769e-07 1
899731445.312 7.24534231722e-07 1
899755859.375 7.80312655024e-07 1
899780273.438 8.6573401461e-07 1
899804687.5 7.95113641061e-07 1
899829101.562 9.02797779645e-07 1
899853515.625 1.05233344243e-06 1
899877929.688 9.96764742922e-07 1
899902343.75 8.07965091099e-07 1
899926757.812 1.29321604732e-06 1
899951171.875 1.91860763152e-06 1
899975585.938 1.06986496576e-05 1
900000000.0 8.39867417199e-05 1
900024414.062 0.000175448126902 0
900048828.125 9.01332656213e-05 1
900073242.188 1.24328700167e-05 1
900097656.25 1.63470647294e-06 1
900122070.312 1.20191461974e-06 1
900146484.375 1.13762538376e-06 1
900170898.438 1.03175292452e-06 1
900195312.5 1.0228040793e-06 1
900219726.562 9.43935646092e-07 1
900244140.625 9.25040808397e-07 1
900268554.688 8.96720428045e-07 1
900292968.75 7.50277132511e-07 1
900317382.812 8.01607910716e-07 1
